"Country,Score,GDP,Population"
"Finland,7.769,1.34,5521606.0"
"Denmark,7.6,1.383,5814422.0"
"Norway,7.554,1.488,5347896.0"
"Iceland,7.494,1.38,360563.0"
"Netherlands,7.488,1.396,17344874.0"
"Switzerland,7.48,1.452,8575280.0"
"Sweden,7.343,1.387,10278887.0"
"New Zealand,7.307,1.303,4970300.0"
"Canada,7.278,1.365,37618495.0"
"Austria,7.246,1.376,8879920.0"
"Australia,7.228,1.372,25334826.0"
"Costa Rica,7.167,1.034,4999553.0"
"Israel,7.139,1.276,9054000.0"
"Luxembourg,7.09,1.609,620001.0"
"United Kingdom,7.054,1.333,66631000.0"
"Ireland,7.021,1.499,4976456.0"
"Germany,6.985,1.373,83092962.0"
"Belgium,6.923,1.356,11488980.0"
"United States,6.892,1.433,330226227.0"
"Czechia,6.852,1.269,10671870.0"
"United Arab Emirates,6.825,1.503,9445785.0"
"Malta,6.726,1.3,503912.0"
"Mexico,6.595,1.07,125762982.0"
"France,6.592,1.324,67382061.0"
"Chile,6.444,1.159,19197744.0"
"Guatemala,6.436,0.8,17103803.0"
"Saudi Arabia,6.375,1.403,30063799.0"
"Qatar,6.374,1.684,2638657.0"
"Spain,6.354,1.286,47118501.0"
"Panama,6.321,1.149,4234700.0"
"Brazil,6.3,1.004,207455459.0"
"Uruguay,6.293,1.124,3397206.0"
"Singapore,6.262,1.572,5703569.0"
"El Salvador,6.253,0.794,6222318.0"
"Italy,6.223,1.294,59729081.0"
"Bahrain,6.199,1.362,1483756.0"
"Poland,6.182,1.206,37965475.0"
"Uzbekistan,6.174,0.745,32964701.0"
"Lithuania,6.149,1.238,2811089.0"
"Colombia,6.125,0.985,49907985.0"
"Slovenia,6.118,1.258,2088385.0"
"Nicaragua,6.105,0.694,6483657.0"
"Kosovo,6.1,0.882,1788891.0"
"Argentina,6.086,1.092,44973465.0"
"Romania,6.07,1.162,19371648.0"
"Cyprus,6.046,1.263,1286671.0"
"Ecuador,6.028,0.912,17340021.0"
"Kuwait,6.021,1.5,4442316.0"
"Thailand,6.008,1.05,71522271.0"
"Latvia,5.94,1.187,1913822.0"
"Korea, Rep.,5.895,1.301,51764822.0"
"Estonia,5.893,1.237,1326898.0"
"Jamaica,5.89,0.831,2823271.0"
"Mauritius,5.888,1.12,1265985.0"
"Japan,5.886,1.327,126633000.0"
"Honduras,5.86,0.642,9943633.0"
"Kazakhstan,5.809,1.173,19209555.0"
"Bolivia,5.779,0.776,11671386.0"
"Hungary,5.758,1.201,9694824.0"
"Paraguay,5.743,0.855,6515058.0"
"Peru,5.697,0.96,32449303.0"
"Portugal,5.693,1.221,10286263.0"
"Pakistan,5.653,0.677,230800899.0"
"Russian Federation,5.648,1.183,145453291.0"
"Philippines,5.631,0.807,110804683.0"
"Serbia,5.603,1.004,6945235.0"
"Moldova,5.529,0.685,2664224.0"
"Libya,5.525,1.044,6951033.0"
"Montenegro,5.523,1.051,626753.0"
"Tajikistan,5.467,0.493,9529966.0"
"Croatia,5.432,1.155,3949390.0"
"Hong Kong SAR, China,5.43,1.438,7507900.0"
"Dominican Republic,5.425,1.015,10894043.0"
